gbifID	datasetKey	occurrenceID	kingdom	phylum	class	order	family	genus	species	infraspecificEpithet	taxonRank	scientificName	verbatimScientificName	verbatimScientificNameAuthorship	countryCode	locality	stateProvince	occurrenceStatus	individualCount	publishingOrgKey	decimalLatitude	decimalLongitude	coordinateUncertaintyInMeters	coordinatePrecision	elevation	elevationAccuracy	depth	depthAccuracy	eventDate	day	month	year	taxonKey	speciesKey	basisOfRecord	institutionCode	collectionCode	catalogNumber	recordNumber	identifiedBy	dateIdentified	license	rightsHolder	recordedBy	typeStatus	establishmentMeans	lastInterpreted	mediaType	issue
2451299151	5e6ae014-b62f-11e2-afcb-00145eb45e9a	http://id.snsb.info/snsb/collection/183892/462545/160981	Chromista	Ochrophyta	Bacillariophyceae	Naviculales	Naviculaceae	Navicula			GENUS	Navicula J.B.M.Bory de Saint-Vincent, 1822	Navicula spec. 5858		DE	Germany, Bayern, Dreisesselspitze, Pfütze				0674aea0-a7e1-11d8-9534-b8a03c50a862	48.784444	13.805											2634825		PRESERVED_SPECIMEN	SNSB-M	BSMweinzierlcoll	183892 / 462545 / E 5858				CC_BY_4_0		Weinhold			2019-11-15T11:11:46.247Z	STILLIMAGE	RECORDED_DATE_INVALID;TAXON_MATCH_HIGHERRANK;COORDINATE_ROUNDED
2451297135	5e6ae014-b62f-11e2-afcb-00145eb45e9a	http://id.snsb.info/snsb/collection/183892/462542/160979	Chromista	Ochrophyta	Bacillariophyceae	Naviculales	Neidiaceae	Neidium	Neidium hercynicum		SPECIES	Neidium hercynicum Mayer	Neidium hercynicum		DE	Germany, Bayern, Dreisesselspitze, Pfütze				0674aea0-a7e1-11d8-9534-b8a03c50a862	48.784444	13.805											2633457	2633457	PRESERVED_SPECIMEN	SNSB-M	BSMweinzierlcoll	183892 / 462542 / E 5855				CC_BY_4_0		Weinhold			2019-11-15T11:11:46.328Z	STILLIMAGE	RECORDED_DATE_INVALID;COORDINATE_ROUNDED
2451295142	5e6ae014-b62f-11e2-afcb-00145eb45e9a	http://id.snsb.info/snsb/collection/183892/462546/160982	Chromista	Ochrophyta	Bacillariophyceae	Naviculales	Naviculaceae	Navicula			GENUS	Navicula J.B.M.Bory de Saint-Vincent, 1822	Navicula spec. 5858		DE	Germany, Bayern, Dreisesselspitze, Pfütze				0674aea0-a7e1-11d8-9534-b8a03c50a862	48.784444	13.805											2634825		PRESERVED_SPECIMEN	SNSB-M	BSMweinzierlcoll	183892 / 462546 / E 5859				CC_BY_4_0		Weinhold			2019-11-15T11:11:46.245Z	STILLIMAGE	RECORDED_DATE_INVALID;TAXON_MATCH_HIGHERRANK;COORDINATE_ROUNDED
2451294138	5e6ae014-b62f-11e2-afcb-00145eb45e9a	http://id.snsb.info/snsb/collection/183892/462543/160980	Chromista	Ochrophyta	Bacillariophyceae	Naviculales	Neidiaceae	Neidium	Neidium hercynicum		SPECIES	Neidium hercynicum Mayer	Neidium hercynicum		DE	Germany, Bayern, Dreisesselspitze, Pfütze				0674aea0-a7e1-11d8-9534-b8a03c50a862	48.784444	13.805											2633457	2633457	PRESERVED_SPECIMEN	SNSB-M	BSMweinzierlcoll	183892 / 462543 / E 5856				CC_BY_4_0		Weinhold			2019-11-15T11:11:46.225Z	STILLIMAGE	RECORDED_DATE_INVALID;COORDINATE_ROUNDED
2451293147	5e6ae014-b62f-11e2-afcb-00145eb45e9a	http://id.snsb.info/snsb/collection/183892/460061/160977	Chromista	Ochrophyta	Bacillariophyceae	Naviculales	Pinnulariaceae	Pinnularia	Pinnularia microstauron	minor	FORM	Pinnularia microstauron f. minor Mayer, 1913	Pinnularia microstauron var. biundulata f. minor		DE	Germany, Bayern, Dreisesselspitze, Pfütze				0674aea0-a7e1-11d8-9534-b8a03c50a862	48.784444	13.805											9590723	5268357	PRESERVED_SPECIMEN	SNSB-M	BSMweinzierlcoll	183892 / 460061 / E 3589				CC_BY_4_0		Weinhold			2019-11-15T11:12:20.547Z	STILLIMAGE	RECORDED_DATE_INVALID;COORDINATE_ROUNDED
2451293146	5e6ae014-b62f-11e2-afcb-00145eb45e9a	http://id.snsb.info/snsb/collection/183892/459648/160976	Chromista	Ochrophyta	Bacillariophyceae	Eunotiales	Eunotiaceae	Eunotia	Eunotia fallax		SPECIES	Eunotia fallax A.Cleve, 1895	Eunotia fallax		DE	Germany, Bayern, Dreisesselspitze, Pfütze				0674aea0-a7e1-11d8-9534-b8a03c50a862	48.784444	13.805											8274116	8274116	PRESERVED_SPECIMEN	SNSB-M	BSMweinzierlcoll	183892 / 459648 / E 3215				CC_BY_4_0		Weinhold			2019-11-15T11:09:12.583Z	STILLIMAGE	RECORDED_DATE_INVALID;COORDINATE_ROUNDED
2451292137	5e6ae014-b62f-11e2-afcb-00145eb45e9a	http://id.snsb.info/snsb/collection/183892/460166/160978	Chromista	Ochrophyta	Bacillariophyceae	Naviculales	Pinnulariaceae	Pinnularia	Pinnularia microstauron	minor	FORM	Pinnularia microstauron f. minor Mayer, 1913	Pinnularia microstauron var. biundulata f. minor		DE	Germany, Bayern, Dreisesselspitze, Pfütze				0674aea0-a7e1-11d8-9534-b8a03c50a862	48.784444	13.805											9590723	5268357	PRESERVED_SPECIMEN	SNSB-M	BSMweinzierlcoll	183892 / 460166 / E 3693				CC_BY_4_0		Weinhold			2019-11-15T11:12:20.468Z	STILLIMAGE	RECORDED_DATE_INVALID;COORDINATE_ROUNDED
2444289279	d962a7dc-2183-4824-bb88-5e0ba14ec62d	https://data.biodiversitydata.nl/naturalis/specimen/ZMA.MOLL.173098	Animalia	Mollusca	Gastropoda	Stylommatophora	Discidae	Discus	Discus rotundatus		SPECIES	Discus rotundatus (O.F.Müller, 1774)	Discus (Gonyodiscus) rotundatus (Müller, 1774)	Müller, 1774	AT	Untersberg, Grödig, Feldgerüst im Buchenwald, 700 m	Salzburg		4	396d5f30-dea9-11db-8ab4-b8a03c50a862	48.766667	13.866667							1947-09-05T00:00:00Z	5	9	1947	2294144	2294144	PRESERVED_SPECIMEN		Mollusca	ZMA.MOLL.173098				CC0_1_0	Naturalis Biodiversity Center	Mahler F			2019-10-31T13:31:27.418Z		COORDINATE_ROUNDED
2431103083	42301ebf-d36a-4e4f-a061-d37d778c2365	e83e260d-61fd-4b15-9d11-83a6d996b0fa	Fungi	Ascomycota	Lecanoromycetes	Lecanorales	Pilocarpaceae	Micarea			GENUS	Micarea Fr.	Micarea		CZ	Sumava Mountains, Volary		present		8a226609-56b9-4b87-a0a2-767c38edd572	48.777778	13.863889							1998-10-18T00:00:00Z	18	10	1998	9611993		PRESERVED_SPECIMEN	HO	HO	HO 531443	1490	Z. Palice		CC_BY_4_0		Halda, J.|Palice, Z.			2019-10-28T16:56:46.670Z		GEODETIC_DATUM_ASSUMED_WGS84
2382543760	54f946aa-2ca9-4a51-9ee5-011219e0381e		Plantae	Tracheophyta	Magnoliopsida	Myrtales	Onagraceae	Epilobium	Epilobium palustre		SPECIES	Epilobium palustre L.	Epilobium palustre L.		CZ	Bohemia, distr. Prachatice. Nová Pec: Trojmezí, vrchovištní oko v lese 0,5 km SV od styku česko-rakousko-bavorských hranic				9a4467a2-eccd-4aa7-bb6d-aea3a31f2a2c	48.775	13.84167	100.0		1310.0				2011-09-02T00:00:00Z	2	9	2011	3189080	3189080	PRESERVED_SPECIMEN	BRNU	Herbarium BRNU	631942		J. Danihelka		CC_BY_4_0		Grulich,V. & Vydrová,A.			2019-09-20T20:00:26.212Z		
